id,nama_kost,alamat,lokasi_jabodetabek,harga,AC,Kasur,Lemari,WiFi,"Wc duduk","Kamar mandi dalam",Listrik,"Luas kamar",gender,deskripsi
1,"Kost Indah Makmur","Ds. Jagakarsa No. 407, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1900000,0,0,1,0,0,0,0,"18 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Lemari di Jakarta Pusat, Jakarta"
2,"Kost Nyaman Baru","Jln. Abang No. 795, Bogor Timur, Bogor","Bogor Timur, Bogor",600000,0,0,0,0,0,1,0,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Kamar Mandi Dalam di Bogor Timur, Bogor"
3,"Kost Wisma Indah","Dk. Villa No. 993, Limo, Depok","Limo, Depok",1550000,0,1,1,0,0,0,1,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Lemari, Kasur di Limo, Depok"
4,"Kost Bahagia Abadi","Jr. Abdul Muis No. 298, Limo, Depok","Limo, Depok",2000000,0,1,0,0,0,0,0,"21 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Kasur di Limo, Depok"
5,"Kost Asri Utama","Psr. Ters. Jakarta No. 440, Bogor Barat, Bogor","Bogor Barat, Bogor",1000000,1,0,0,0,0,0,1,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Luas kamar, AC di Bogor Barat, Bogor"
6,"Kost Wisma Abadi","Ki. Ronggowarsito No. 855, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1200000,0,0,1,0,0,0,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Lemari di Tangerang Kota, Tangerang"
7,"Kost Asri Indah","Ki. Orang No. 687, Limo, Depok","Limo, Depok",1500000,0,0,1,1,0,0,1,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Listrik, Luas kamar, WiFi di Limo, Depok"
8,"Kost Wisma Barokah","Kpg. Warga No. 453, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",900000,0,1,0,0,0,1,0,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Dapur Bersama, Kamar Mandi Dalam, Luas kamar di Bekasi Timur, Bekasi"
9,"Kost Harmoni Barokah","Jln. Pelajar Pejuang 45 No. 911, Bogor Timur, Bogor","Bogor Timur, Bogor",1400000,0,1,0,1,1,0,1,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Kasur, Listrik, WiFi di Bogor Timur, Bogor"
10,"Kost Bahagia Makmur","Dk. Ir. H. Juanda No. 749, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1200000,1,0,0,0,1,1,1,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Listrik, Wc duduk, Kamar Mandi Dalam di Jakarta Barat, Jakarta"
